"county_fips","protests"
"01055",2
"01069",1
"01073",6
"01081",2
"01089",1
"01097",1
"01101",2
"01125",2
"02020",3
"02050",2
"02090",1
"02110",1
"02188",1
"04005",1
"04013",12
"04015",1
"04019",2
"04025",1
"05007",2
"05031",1
"05045",2
"05051",1
"05053",1
"05119",6
"05131",1
"06001",18
"06013",11
"06017",1
"06019",5
"06023",1
"06029",1
"06033",1
"06037",54
"06041",5
"06045",6
"06047",2
"06053",2
"06055",1
"06059",17
"06061",5
"06065",5
"06067",6
"06069",1
"06071",7
"06073",26
"06075",7
"06077",5
"06079",4
"06083",4
"06085",12
"06087",4
"06089",1
"06095",5
"06097",2
"06099",11
"06107",2
"06109",1
"06111",5
"06113",1
"08005",6
"08013",2
"08015",1
"08031",8
"08041",3
"08045",2
"08059",1
"08069",2
"08077",1
"08119",1
"08123",1
"09001",11
"09003",5
"09005",2
"09009",13
"09011",5
"09013",1
"10003",1
"11001",21
"12001",6
"12003",1
"12005",5
"12009",2
"12011",3
"12019",2
"12021",2
"12031",3
"12039",1
"12057",7
"12071",1
"12073",3
"12083",1
"12086",8
"12095",7
"12097",1
"12099",4
"12101",1
"12103",5
"12105",2
"12109",2
"12115",1
"12127",1
"12129",1
"12131",2
"13015",1
"13051",1
"13059",1
"13067",2
"13089",7
"13113",2
"13117",2
"13121",19
"13277",1
"13297",3
"15001",2
"15003",7
"15007",1
"15009",2
"16001",10
"16019",1
"16057",3
"17019",3
"17021",1
"17031",30
"17037",2
"17043",1
"17055",1
"17089",6
"17091",1
"17093",2
"17097",4
"17107",1
"17109",2
"17111",3
"17113",4
"17117",1
"17119",2
"17137",1
"17143",2
"17145",1
"17163",4
"17167",4
"17181",1
"17197",1
"17199",2
"17201",1
"18003",1
"18019",2
"18039",4
"18047",1
"18057",1
"18059",1
"18097",5
"18105",1
"18141",1
"18157",3
"18167",1
"19013",4
"19073",1
"19103",4
"19113",4
"19153",10
"19169",2
"19193",1
"20037",1
"20061",1
"20091",4
"20155",1
"20161",2
"20173",2
"20177",1
"21035",3
"21037",1
"21067",5
"21083",1
"21095",1
"21111",59
"21117",1
"21143",1
"21145",1
"21151",1
"21157",1
"21163",1
"21173",1
"21177",1
"21193",1
"21195",1
"21227",3
"22015",1
"22033",2
"22051",1
"22055",1
"22071",1
"22073",1
"23001",2
"23003",2
"23005",10
"23007",1
"23009",2
"23011",3
"23015",4
"24005",1
"24019",2
