lon,lat,location,address,date,weekof,year,county_fips,state_abbv,state_fips,county_name,fips_class,state_name
-98.269734,29.5521737,"Schertz, TX","schertz, tx, usa",2020-11-10,2020/11/09,2020,"48187",TX,"48",Guadalupe County,H1,Texas
-80.8431267,35.2270869,"Charlotte, NC","charlotte, nc, usa",2020-11-10,2020/11/09,2020,"37119",NC,"37",Mecklenburg County,H1,North Carolina
-86.158068,39.768403,"Indianapolis, IN","indianapolis, in, usa",2020-11-10,2020/11/09,2020,"18097",IN,"18",Marion County,H6,Indiana
-88.2762026,42.6780726,"Burlington, WI","burlington, wi 53105, usa",2020-11-09,2020/11/09,2020,"55101",WI,"55",Racine County,H1,Wisconsin
-75.4557303,43.2128473,"Rome, NY","rome, ny, usa",2020-11-09,2020/11/09,2020,"36065",NY,"36",Oneida County,H1,New York
-123.0867536,44.0520691,"Eugene, OR","eugene, or, usa",2020-11-08,2020/11/09,2020,"41039",OR,"41",Lane County,H1,Oregon
-73.7845651,43.0831301,"Saratoga Springs, NY","saratoga springs, ny, usa",2020-11-07,2020/11/09,2020,"36091",NY,"36",Saratoga County,H1,New York
-75.1652215,39.9525839,"Philadelphia, PA","philadelphia, pa, usa",2020-10-28,2020/11/02,2020,"42101",PA,"42",Philadelphia County,H6,Pennsylvania
-74.0059728,40.7127753,"New York, NY","new york, ny, usa",2020-10-27,2020/10/26,2020,"36061",NY,"36",New York County,H6,New York
-75.1652215,39.9525839,"Philadelphia, PA","philadelphia, pa, usa",2020-10-26,2020/10/26,2020,"42101",PA,"42",Philadelphia County,H6,Pennsylvania
-122.7163273,45.415734,"Lake Oswego, OR","lake oswego, or, usa",2020-10-25,2020/10/26,2020,"41005",OR,"41",Clackamas County,H1,Oregon
-76.5018807,42.4439614,"Ithaca, NY","ithaca, ny, usa",2020-10-24,2020/10/26,2020,"36109",NY,"36",Tompkins County,H1,New York
-83.7430378,42.2808256,"Ann Arbor, MI","ann arbor, mi, usa",2020-10-24,2020/10/26,2020,"26161",MI,"26",Washtenaw County,H1,Michigan
-83.0329934,42.670782,"Shelby Township, MI","shelby charter twp, mi, usa",2020-10-24,2020/10/26,2020,"26099",MI,"26",Macomb County,H1,Michigan
-86.7816016,36.1626638,"Nashville, TN","nashville, tn, usa",2020-10-24,2020/10/26,2020,"47037",TN,"47",Davidson County,H6,Tennessee
-87.8447938,42.3636331,"Waukegan, IL","waukegan, il, usa",2020-10-22,2020/10/26,2020,"17097",IL,"17",Lake County,H1,Illinois
-77.4299939,43.2122851,"Webster, NY","webster, ny 14580, usa",2020-10-12,2020/10/12,2020,"36055",NY,"36",Monroe County,H1,New York
-82.1887444,36.5951059,"Bristol, TN","bristol, tn, usa",2020-10-10,2020/10/12,2020,"47163",TN,"47",Sullivan County,H1,Tennessee
-93.2650108,44.977753,"Minneapolis, MO","minneapolis, mn, usa",2020-10-08,2020/10/12,2020,"27053",MN,"27",Hennepin County,H1,Minnesota
-122.4442906,47.2528768,"Tacoma, WA","tacoma, wa, usa",2020-10-08,2020/10/12,2020,"53053",WA,"53",Pierce County,H1,Washington
-90.50624,40.5528183,"Bushnell, IL","bushnell, il 61422, usa",2020-10-07,2020/10/12,2020,"17109",IL,"17",McDonough County,H1,Illinois
-88.0075875,43.0494572,"Milwauke, WI - Wauwatosa, WI","wauwatosa, wi, usa",2020-10-07,2020/10/12,2020,"55079",WI,"55",Milwaukee County,H1,Wisconsin
-74.0059728,40.7127753,"New York, NY","new york, ny, usa",2020-10-06,2020/10/05,2020,"36061",NY,"36",New York County,H6,New York
-86.9080655,40.4258686,"West Lafayette, IN","west lafayette, in, usa",2020-10-05,2020/10/05,2020,"18157",IN,"18",Tippecanoe County,H1,Indiana
-121.3153096,44.0581728,"Bend, OR","bend, or, usa",2020-10-03,2020/10/05,2020,"41017",OR,"41",Deschutes County,H1,Oregon
-70.8411558,42.6791832,"Ipswich, MA","ipswich, ma, usa",2020-10-03,2020/10/05,2020,"25009",MA,"25",Essex County,H4,Massachusetts
